,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
151597,2020-10-03,9,Assen,NL,Pillow case,Textile,Unknown/n.a.,yes,8.0
151598,2020-10-08,9,Assen,NL,Pasta maker,Household appliances electric,Unknown/n.a.,yes,3.0
151599,2020-10-08,9,Assen,NL,DVD player / recorder,Display and sound equipment,Philips,yes,10.0
151600,2020-09-30,221,Apeldoorn-Noord,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,10.0
151601,2020-09-26,17,Utrecht-Oost,NL,Coffee grinder,Household appliances electric,Unknown/n.a.,yes,7.0
151602,2020-10-03,41,Utrecht-Leidsche Rijn,NL,Coffee grinder,Household appliances electric,Tomado,yes,10.0
151603,2020-09-30,221,Apeldoorn-Noord,NL,Laminator,Household appliances electric,Rexel,yes,8.0
151604,2020-09-30,221,Apeldoorn-Noord,NL,Receiver,Tools electric,Philips,yes,8.0
151605,2020-09-30,221,Apeldoorn-Noord,NL,Charger (battery / power supply),Computer equipment / phones,Dell,yes,7.0
151606,2020-09-11,221,Apeldoorn-Noord,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,8.0
151608,2020-10-07,275,Zevenhuizen,NL,Speaker,Display and sound equipment,Unknown/n.a.,yes,8.0
151609,2020-10-07,275,Zevenhuizen,NL,Printer,Computer equipment / phones,Canon,yes,7.0
151610,2020-10-07,275,Zevenhuizen,NL,Coffee maker,Household appliances electric,Dolce gusto,half,7.0
151611,2020-10-07,275,Zevenhuizen,NL,Clock,Clocks / alarm clocks,Unknown/n.a.,half,8.0
151612,2020-10-07,275,Zevenhuizen,NL,Pan,Household appliances non-electric,Unknown/n.a.,yes,10.0
151613,2020-10-07,275,Zevenhuizen,NL,Coffee maker,Household appliances electric,Magimix,no,2.0
151614,2020-10-07,275,Zevenhuizen,NL,Iron,Household appliances electric,Tefal,yes,9.0
151617,2020-10-07,46,Best,NL,Iron,Household appliances electric,Tefal,yes,9.0
151619,2020-10-07,46,Best,NL,Sewing machine,Household appliances electric,Unknown/n.a.,yes,9.0
151620,2020-10-03,16,Delft,NL,CD player / recorder,Display and sound equipment,Samsung,yes,10.0
151621,2020-10-03,16,Delft,NL,Vacuum cleaner,Household appliances electric,Philips,no,5.0
151622,2020-10-03,16,Delft,NL,Coffee maker,Household appliances electric,Krups,no,1.0
151623,2020-10-03,16,Delft,NL,Television,Display and sound equipment,Philips,half,7.0
151624,2020-10-03,16,Delft,NL,Clipper / trimmer,Household appliances electric,Babyliss,no,7.0
151625,2020-10-03,16,Delft,NL,Video camera,Display and sound equipment,Sony,no,5.0
151626,2020-10-03,16,Delft,NL,Coffee maker,Household appliances electric,Krups,half,7.0
151627,2020-10-03,16,Delft,NL,Speaker,Display and sound equipment,Philips,no,10.0
151628,2020-10-03,16,Delft,NL,CD player / recorder,Display and sound equipment,Philips,yes,10.0
151629,2020-10-03,16,Delft,NL,Oven,Household appliances electric,Neff,half,9.0
151630,2020-10-03,16,Delft,NL,CD / Cassette player,Display and sound equipment,Grundig,yes,10.0
151632,2020-10-03,16,Delft,NL,Turntable / record player,Display and sound equipment,Denver,yes,9.0
151633,2020-10-03,16,Delft,NL,CD player / recorder,Display and sound equipment,Kenwood,no,8.0
151634,2020-10-03,16,Delft,NL,Radio,Display and sound equipment,Sony,yes,9.0
151635,2020-10-03,16,Delft,NL,Vacuum cleaner,Household appliances electric,Bissell,yes,6.0
151636,2020-10-03,16,Delft,NL,Microwave oven,Household appliances electric,Panasonic,half,8.0
151637,2020-10-03,16,Delft,NL,Radio / tape recorder,Display and sound equipment,Majestic,yes,7.0
151638,2020-10-03,16,Delft,NL,Coffee maker,Household appliances electric,Siemens,yes,9.0
151639,2020-09-19,16,Delft,NL,Scales,Toys electric,Unknown/n.a.,yes,10.0
151640,2020-09-05,16,Delft,NL,Amplifier,Display and sound equipment,Technics,yes,8.0
151641,2020-09-19,16,Delft,NL,Pressure washer / High-pressure cleaner / Jet washer,Household appliances electric,Kärcher,no,3.0
151643,2020-09-19,278,Delft-Stunt,NL,Sewing machine,Household appliances electric,Lewenstein,yes,8.0
151646,2020-09-28,46,Best,NL,Speaker,Display and sound equipment,Samsung,no,3.0
151647,2020-09-26,153,Vancouver,CA,Fan,Household appliances electric,Go On,yes,9.0
151648,2020-09-26,153,Vancouver,CA,Kettle,Household appliances electric,Unknown/n.a.,no,7.0
151701,2020-10-01,65,Sittard-Geleen,NL,Coffee maker,Household appliances electric,Philips,yes,7.0
151702,2020-09-30,221,Apeldoorn-Noord,NL,Coffee maker,Household appliances electric,Nespresso,yes,9.0
151703,2020-09-30,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Tefal,yes,8.0
151704,2020-09-30,221,Apeldoorn-Noord,NL,Radio,Household appliances electric,Reactor,yes,7.0
151705,2020-09-30,221,Apeldoorn-Noord,NL,Radio,Household appliances electric,Unknown/n.a.,no,3.0
151706,2020-09-30,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Dyson,yes,4.0
151707,2020-09-30,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,3.0
151708,2020-09-30,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,3.0
151709,2020-09-19,278,Delft-Stunt,NL,Sewing machine,Household appliances electric,Köhler,yes,8.0
151711,2020-09-19,278,Delft-Stunt,NL,Vacuum cleaner,Household appliances electric,AEG,no,1.0
151712,2020-09-19,278,Delft-Stunt,NL,Vacuum cleaner,Household appliances electric,Electrolux,no,1.0
151713,2020-09-19,278,Delft-Stunt,NL,Sander,Tools electric,Ferm,no,9.0
151714,2020-09-19,278,Delft-Stunt,NL,Tuner,Display and sound equipment,Sony,no,7.0
151715,2020-09-19,278,Delft-Stunt,NL,Sewing machine,Household appliances electric,Singer,half,8.0
151716,2020-09-19,278,Delft-Stunt,NL,Bread maker,Household appliances electric,HE,half,7.0
151717,2020-09-19,278,Delft-Stunt,NL,Electric kettle / Electric jug,Household appliances electric,Aigostar,yes,9.0
151718,2020-09-19,278,Delft-Stunt,NL,Lamp / Lighting,Household appliances electric,Philips,yes,9.0
151721,2020-09-19,278,Delft-Stunt,NL,Television,Display and sound equipment,Daewoo,yes,9.0
151722,2020-09-19,278,Delft-Stunt,NL,Fridge,Household appliances electric,Unknown/n.a.,yes,8.0
151724,2020-09-19,278,Delft-Stunt,NL,Trousers / pants,Textile,Nike,yes,10.0
151726,2020-09-19,278,Delft-Stunt,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,7.0
151727,2020-09-19,278,Delft-Stunt,NL,Trousers / pants,Textile,Unknown/n.a.,yes,10.0
151731,2020-09-28,46,Best,NL,Massage equipment / Massager,Other,Balance,yes,10.0
151732,2020-09-28,46,Best,NL,Vacuum cleaner,Household appliances electric,Miele,yes,8.0
151733,2020-09-28,46,Best,NL,Coffee maker,Household appliances electric,Tefal,yes,9.0
151734,2020-09-28,46,Best,NL,Coffee maker,Household appliances electric,Philips,yes,9.0
151735,2020-09-26,153,Vancouver,CA,Clipper / trimmer,Household appliances electric,Panasonic,yes,7.0
151736,2020-09-26,153,Vancouver,CA,Lamp / Lighting,Household appliances electric,Ikea,half,7.0
151737,2020-09-26,153,Vancouver,CA,Food processor,Household appliances electric,KitchenAid,yes,7.0
151738,2020-09-26,153,Vancouver,CA,Blender,Household appliances electric,Vitamix,yes,7.0
151739,2020-09-26,153,Vancouver,CA,Bicycle / Bike,Bicycles,Le Circuit,yes,10.0
151740,2020-09-26,153,Vancouver,CA,Bicycle / Bike,Bicycles,SuperCycle,yes,4.0
151741,2020-09-26,153,Vancouver,CA,Duvet cover,Textile,Unknown/n.a.,yes,8.0
151742,2020-09-26,153,Vancouver,CA,Vacuum cleaner,Household appliances electric,Sanyo,yes,10.0
151743,2020-09-26,17,Utrecht-Oost,NL,Spoon,Household appliances non-electric,Unknown/n.a.,yes,9.0
151744,2020-09-26,17,Utrecht-Oost,NL,Crockery,Household appliances non-electric,Unknown/n.a.,yes,9.0
151758,2020-09-26,17,Utrecht-Oost,NL,Trousers / pants,Textile,Unknown/n.a.,yes,8.0
151762,2020-09-26,17,Utrecht-Oost,NL,Axe / Hatchet,Tools non-electric,Unknown/n.a.,yes,8.0
151764,2020-09-26,17,Utrecht-Oost,NL,Grill,Household appliances electric,Tristar,half,3.0
151765,2020-09-26,153,Vancouver,CA,Coffee maker,Household appliances electric,KitchenAid,yes,7.0
151766,2020-09-26,153,Vancouver,CA,Trousers / pants,Textile,Unknown/n.a.,yes,5.0
151767,2020-09-26,153,Vancouver,CA,Stroller / Push chair / Buggy,Other,Mountain Buggy,yes,6.0
151768,2020-09-26,153,Vancouver,CA,Toaster,Household appliances electric,Unknown/n.a.,half,7.0
151770,2020-09-26,17,Utrecht-Oost,NL,Flashlight / electric torch,Household appliances electric,Unknown/n.a.,yes,10.0
151772,2020-09-26,17,Utrecht-Oost,NL,Clock,Household appliances electric,Unknown/n.a.,yes,10.0
151774,2020-09-26,17,Utrecht-Oost,NL,Wooden castle,Toys non-electric,Unknown/n.a.,yes,9.0
151775,2020-09-26,17,Utrecht-Oost,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,10.0
151776,2020-09-24,65,Sittard-Geleen,NL,Electric kettle / Electric jug,Household appliances electric,Marquant,no,9.0
151777,2020-09-24,65,Sittard-Geleen,NL,Coffee maker,Household appliances electric,Philips,no,9.0
151779,2020-09-19,16,Delft,NL,Headphones,Display and sound equipment,Sony,yes,3.0
151780,2020-09-19,16,Delft,NL,Iron,Household appliances electric,Tomado,yes,8.0
151782,2020-09-19,16,Delft,NL,Handheld vacuum cleaner,Household appliances electric,SilverCrest,no,8.0
151785,2020-09-19,16,Delft,NL,Radio / CD player,Display and sound equipment,Soundmaster,yes,7.0
151786,2020-09-19,16,Delft,NL,Window wiper,Household appliances electric,AEG,half,8.0
151787,2020-09-19,16,Delft,NL,Vacuum cleaner,Household appliances electric,Domo,half,4.0
151789,2020-09-19,16,Delft,NL,Lighter,Household appliances electric,Tefal,yes,8.0
151790,2020-09-19,16,Delft,NL,Blender,Household appliances electric,Tomado,no,2.0
151791,2020-09-19,16,Delft,NL,Radio,Display and sound equipment,Argon,no,5.0
151793,2020-09-19,16,Delft,NL,Lamp / Lighting,Household appliances electric,Unknown/n.a.,yes,9.0
151794,2020-09-19,16,Delft,NL,Scales,Household appliances electric,Tanita,half,4.0
151795,2020-09-19,16,Delft,NL,Dvd / cd player,Display and sound equipment,Philips,yes,8.0
151796,2020-09-19,16,Delft,NL,Dvd / cd player,Display and sound equipment,Philips,half,8.0
151797,2020-09-19,16,Delft,NL,Playstation,Toys electric,Sony,half,5.0
151814,2020-09-23,46,Best,NL,Earphone,Display and sound equipment,Gigaset,no,1.0
151819,2020-09-21,221,Apeldoorn-Noord,NL,Steam cleaner,Household appliances electric,SilverCrest,no,3.0
151820,2020-09-21,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Philips,yes,1.0
151821,2019-11-30,156,Bourgoin-Jallieu,FR,Iron,Household appliances electric,Calor,half,10.0
151822,2020-09-21,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Miele,yes,10.0
151824,2020-02-29,156,Bourgoin-Jallieu,FR,Computer,Computer equipment / phones,LDLC,half,8.0
151827,2020-02-29,156,Bourgoin-Jallieu,FR,Microwave,Household appliances electric,Brandt,yes,10.0
151828,2020-02-29,156,Bourgoin-Jallieu,FR,Sewing machine,Household appliances electric,Singer,yes,5.0
151829,2020-02-29,156,Bourgoin-Jallieu,FR,Vacuum cleaner,Household appliances electric,Bosch,yes,10.0
151830,2020-02-29,156,Bourgoin-Jallieu,FR,Toaster,Household appliances electric,Seb,no,5.0
151831,2020-02-29,156,Bourgoin-Jallieu,FR,Waffle iron / Waffle maker,Household appliances electric,Unknown/n.a.,no,5.0
151832,2020-02-29,156,Bourgoin-Jallieu,FR,Stereoset / music centre,Display and sound equipment,Technics,no,1.0
151833,2020-09-16,275,Zevenhuizen,NL,Stereoset / music centre,Display and sound equipment,Bose,yes,8.0
151834,2020-09-16,275,Zevenhuizen,NL,Sawing machine,Tools electric,Ferm,yes,9.0
151835,2020-09-16,275,Zevenhuizen,NL,Headphones,Display and sound equipment,Sennheiser,no,1.0
151836,2020-09-16,275,Zevenhuizen,NL,Coffee maker,Household appliances electric,Philips,yes,9.0
151837,2020-09-14,221,Apeldoorn-Noord,NL,Coffee maker,Household appliances electric,Philips,yes,10.0
151842,2020-09-12,46,Best,NL,Television,Display and sound equipment,LG,yes,9.0
151843,2020-09-12,46,Best,NL,Electric drill / Power drill,Tools electric,Hitachi,no,7.0
151844,2020-09-12,46,Best,NL,Blender,Household appliances electric,Philips,yes,2.0
151846,2020-09-12,46,Best,NL,Radio / CD player,Display and sound equipment,Philips,yes,8.0
151848,2020-09-12,46,Best,NL,Coffee maker,Household appliances electric,Tefal,half,8.0
151849,2020-09-12,46,Best,NL,Vacuum cleaner,Household appliances electric,AEG,no,2.0
151850,2020-09-12,68,Utrecht-Zuilen,NL,Bicycle / Bike,Bicycles,Gazelle,yes,8.0
151851,2020-09-12,68,Utrecht-Zuilen,NL,Bicycle / Bike,Bicycles,Sparta,yes,8.0
151852,2020-09-12,68,Utrecht-Zuilen,NL,Pyjamas,Other,Unknown/n.a.,yes,8.0
151853,2020-09-12,68,Utrecht-Zuilen,NL,Dress,Other,Unknown/n.a.,yes,7.0
151854,2020-09-12,68,Utrecht-Zuilen,NL,Vacuum cleaner,Household appliances electric,Bosch,yes,9.0
151855,2020-09-11,221,Apeldoorn-Noord,NL,Food processor,Household appliances electric,Bosch,yes,3.0
151856,2020-08-24,221,Apeldoorn-Noord,NL,Remote controlled car,Toys electric,Unknown/n.a.,no,10.0
151857,2020-08-24,221,Apeldoorn-Noord,NL,Remote controlled car,Toys electric,Unknown/n.a.,no,8.0
151858,2020-09-05,9,Assen,NL,Electric blanket / Electric throw,Household appliances electric,Inventum,yes,8.0
151859,2020-09-10,221,Apeldoorn-Noord,NL,Vacuum cleaner,Household appliances electric,Philips,yes,10.0
151860,2020-09-05,9,Assen,NL,Remote control,Display and sound equipment,Unknown/n.a.,no,1.0
