index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
23319,2024-05-11,156,Bourgoin-Jallieu,FR,Yogurt machine,Household appliances electric,Cuisinart,yes,8.0
23320,2024-05-26,562,El Barrio – Manhattan – New York,US,Stick mixer / Hand blender,Household appliances electric,Cuisinart,yes,8.0
23321,2024-10-05,664,Montreal,CA,Coffee grinder,Household appliances electric,Cuisinart,yes,8.0
23322,2025-03-14,546,Descartes - Champs-sur-Marne,FR,Toaster,Household appliances electric,Cuisinart,no,8.0
23323,2023-06-07,275,Zevenhuizen,NL,Electric kettle / Electric jug,Household appliances electric,Cuisinart,half,8.0
23324,2022-06-17,415,Verrières-le-Buisson,FR,Rice cooker,Household appliances electric,Cuisinart,half,8.0
23325,2020-01-11,646,Farnham,GB,Stick mixer / Hand blender,Household appliances electric,Cuisinart,no,1.0
23326,2021-09-25,155,Horsham,GB,Sandwich maker,Household appliances electric,Cuisinart,no,1.0
23327,2025-07-19,525,Bergen op Zoom,NL,Food processor,Household appliances electric,Cuisinart,yes,10.0
23328,2024-11-16,664,Montreal,CA,Blender,Household appliances electric,Cuisinart,no,2.0
23329,2023-10-12,4,Capelle aan den IJssel,NL,Citrus press,Household appliances electric,Cuisinart,yes,7.0
23330,2025-05-17,613,Pacé,FR,Yogurt machine,Household appliances electric,Cuisinart,no,4.0
23331,2024-04-20,664,Montreal,CA,Coffee maker,Household appliances electric,Cuisinart,yes,7.0
23332,2023-11-11,597,Tucson AZ,US,Food processor,Household appliances electric,Cuisinart,no,4.0
23333,2024-01-06,217,Exmouth,GB,Sandwich maker,Household appliances electric,Cuisinart,half,5.0
23334,2022-06-18,381,Saint Vivien 17220,FR,Electric kettle / Electric jug,Household appliances electric,Cuisinart,no,2.0
23335,2025-01-29,664,Montreal,CA,Toaster,Household appliances electric,Cuisinart,half,7.0
23336,2024-04-27,685,Nantes Erdre,FR,Kettle,Household appliances electric,Cuisinart,no,3.0
23337,2022-09-03,9,Assen,NL,Rice cooker,Household appliances electric,Cuisinart,yes,10.0
23338,2024-05-26,562,El Barrio – Manhattan – New York,US,Stick mixer / Hand blender,Household appliances electric,Cuisinart,yes,6.0
23339,2025-06-14,664,Montreal,CA,Mixer / Blender,Household appliances electric,Cuisinart,no,1.0
23340,2024-06-22,129,Maple Ridge,CA,Toaster oven,Household appliances electric,Cuisinart,no,3.0
23341,2025-04-27,828,Richmond VA,US,Toaster,Household appliances electric,Cuisinart,yes,6.0
23342,2021-09-15,275,Zevenhuizen,NL,Grill toaster,Household appliances electric,Cuisinart,no,2.0
23343,2024-10-17,4,Capelle aan den IJssel,NL,Electric kettle / Electric jug,Household appliances electric,Cuisinart,no,3.0
23344,2023-09-13,515,Zoetermeer-Ambachtenwerkplaats,NL,Coffee maker,Household appliances electric,Cuisinart,no,7.0
23345,2024-10-23,664,Montreal,CA,Coffee grinder,Household appliances electric,Cuisinart,yes,2.0
23346,2024-05-11,503,Doubleview,AU,Ice cream maker,Household appliances electric,Cuisinart,no,1.0
23347,2024-09-17,515,Zoetermeer-Ambachtenwerkplaats,NL,Toaster,Household appliances electric,Cuisinart,yes,10.0
23348,2022-12-10,156,Bourgoin-Jallieu,FR,Oven,Household appliances electric,Cuisinart,half,7.0
23349,2024-11-16,664,Montreal,CA,Mixer / Blender,Household appliances electric,Cuisinart,yes,7.0
23350,2024-01-27,47,Twello,NL,Grill toaster,Household appliances electric,Cuisinart,no,6.0
23351,2018-04-13,10,Bodegraven,NL,Coffee maker,Household appliances electric,Cuisinart,yes,7.0
23352,2020-03-03,225,Vandoeuvre,FR,Juice extractor / Juicer,Household appliances electric,Cuisinart,yes,3.0
23353,2023-10-21,129,Maple Ridge,CA,Coffee grinder,Household appliances electric,Cuisinart,yes,9.0
23354,2021-10-30,314,Caloundra,AU,Food processor,Household appliances electric,Cuisinart,no,1.0
23355,2023-12-09,156,Bourgoin-Jallieu,FR,Sandwich maker,Household appliances electric,Cuisinart,yes,3.0
23356,2023-09-16,560,Chiswick - London,GB,Mixer / Blender,Household appliances electric,Cuisinart,yes,5.0
23357,2024-06-22,129,Maple Ridge,CA,Food processor,Household appliances electric,Cuisinart,half,10.0
23358,2023-12-09,354,Landerneau Elorn,FR,Electric kettle / Electric jug,Household appliances electric,Cuisinart,no,1.0
23359,2024-09-25,355,Guérande,FR,Electric kettle / Electric jug,Household appliances electric,Cuisinart,no,5.0
23360,2019-11-09,153,Vancouver,CA,Mixer / Blender,Household appliances electric,Cuisinart,no,1.0
23361,2024-05-08,664,Montreal,CA,Herbal mill / Spice grinder,Household appliances electric,Cuisinart,yes,10.0
23362,2024-01-13,597,Tucson AZ,US,Food processor,Household appliances electric,Cuisinart,yes,9.0
